time,population
0.0,1
100.0,16630
200.0,16452
300.0,15777
400.0,15866
500.0,16062
600.0,16265
700.0,16207
800.0,16388
900.0,16383
1000.0,16069
time,paternal,maternal
16.0,1,203
16.0,2,204
16.0,3,205
16.0,4,206
16.0,5,207
16.1,6,208
16.1,7,209
16.1,8,210
16.1,9,211
16.1,10,212
16.1,11,213
16.2,12,214
16.2,13,215
16.2,14,216
16.2,15,217
16.2,16,218
16.3,17,219
16.3,18,220
16.4,19,221
16.4,20,222
16.4,21,223
16.4,22,224
16.4,23,225
16.4,24,226
16.4,25,227
16.5,26,228
16.5,27,229
16.5,28,230
16.5,29,231
16.5,30,232
16.6,31,233
16.6,32,234
16.6,33,235
16.6,34,236
16.6,35,237
16.6,36,238
16.6,37,239
16.6,38,240
16.7,39,241
16.7,40,242
16.7,41,243
16.7,42,244
16.7,43,245
16.7,44,246
16.7,45,247
16.7,46,248
16.7,47,249
16.8,48,250
16.8,49,251
16.8,50,252
16.8,51,253
16.8,52,254
16.9,53,255
16.9,54,256
17.0,55,257
17.0,56,258
17.0,57,259
17.0,58,260
17.1,59,261
17.2,60,262
17.2,61,263
17.2,62,264
17.3,63,265
17.3,64,266
17.3,65,267
17.3,66,268
17.3,67,269
17.4,68,270
17.4,69,271
17.4,70,272
17.4,71,273
17.4,72,274
17.4,73,275
17.5,74,276
17.5,75,277
17.5,76,278
17.5,77,279
17.6,78,280
17.6,79,281
17.7,80,282
17.8,81,283
17.8,82,284
17.8,83,285
17.9,84,286
17.9,85,287
17.9,86,288
18.0,87,289
18.0,88,290
18.0,89,291
18.1,90,292
18.1,91,293
18.1,92,294
18.1,93,295
18.1,94,296
18.1,95,297
18.1,96,298
18.2,97,299
18.2,98,300
18.2,99,301
18.2,100,302
18.3,101,303
18.3,102,304
18.3,103,305
18.3,104,306
18.4,105,307
18.4,106,308
18.4,107,309
18.4,108,310
18.5,109,311
18.5,110,312
18.5,111,313
18.5,112,314
18.6,113,315
18.6,114,316
18.6,115,317
18.6,116,318
18.7,117,319
18.8,118,320
18.8,119,321
18.8,120,322
18.8,121,323
18.8,122,324
19.0,123,325
19.0,124,326
19.0,125,327
19.1,126,328
19.1,127,329
19.1,128,330
19.1,129,331
19.1,130,332
19.2,131,333
19.2,132,334
19.3,133,335
19.3,134,336
19.3,135,337
19.4,136,338
19.4,137,339
19.4,138,340
19.4,139,341
19.4,140,342
19.4,141,343
19.5,142,344
19.5,143,345
19.5,144,346
19.6,145,347
19.6,146,348
19.6,147,349
19.6,148,350
19.7,149,351
19.7,150,352
19.8,151,353
19.8,152,354
19.8,153,355
19.8,154,356
19.9,155,357
19.9,156,358
19.9,157,359
19.9,158,360
19.9,159,361
20.0,160,362
20.0,161,363
20.0,162,364
20.1,163,365
20.2,164,366
20.2,165,367
20.2,166,368
20.3,167,369
20.3,168,370
20.3,169,371
20.3,170,372
20.5,171,373
20.5,172,374
20.5,173,375
20.6,174,376
20.6,175,377
20.7,176,378
20.7,177,379
20.7,178,380
20.8,179,381
20.8,180,382
20.9,181,383
20.9,182,384
20.9,183,385
21.0,184,386
21.0,185,387
21.0,186,388
21.0,187,389
21.0,188,390
21.1,189,391
21.2,190,392
21.3,191,393
21.3,192,394
21.3,193,395
21.4,194,396
21.4,195,397
21.5,196,398
21.6,197,399
21.7,198,400
21.7,199,401
21.8,200,402
21.8,201,403
21.9,202,404
21.9,203,405
21.9,204,406
21.9,205,407
21.9,206,408
21.9,207,409
22.0,208,410
22.0,209,411
22.0,210,412
22.1,211,413
22.1,212,414
22.1,213,415
22.1,214,416
22.2,215,417
22.3,216,418
22.4,217,419
22.5,218,420
22.5,219,421
22.5,220,422
22.5,221,423
22.5,222,424
22.5,223,425
22.6,224,426
22.6,225,427
22.6,226,428
22.7,227,429
22.7,228,430
22.8,229,431
22.8,230,432
22.9,231,433
22.9,232,434
22.9,233,435
22.9,234,436
23.0,235,437
23.1,236,438
23.1,237,439
23.2,238,440
23.3,239,441
23.4,240,442
23.4,241,443
23.5,242,444
23.5,243,445
23.5,244,446
23.6,245,447
23.7,246,448
23.8,247,449
23.8,248,450
23.9,249,451
23.9,250,452
24.0,251,453
24.0,252,454
24.1,253,455
24.2,254,456
24.2,255,457
24.3,256,458
24.3,257,459
24.3,258,460
24.3,259,461
24.3,260,462
24.4,261,463
24.4,262,464
24.5,263,465
24.5,264,466
24.5,265,467
24.5,266,468
24.6,267,469
24.6,268,470
24.8,269,471
24.8,270,472
24.9,271,473
24.9,272,474
24.9,273,475
24.9,274,476
24.9,275,477
25.0,276,478
25.0,277,479
25.0,278,480
25.1,279,481
25.2,280,482
25.2,281,483
25.3,282,484
25.3,283,485
25.3,284,486
25.4,285,487
25.5,286,488
25.5,287,489
25.7,288,490
25.8,289,491
26.1,290,492
26.2,291,493
26.2,292,494
26.3,293,495
26.3,294,496
26.3,295,497
26.4,296,498
26.5,297,499
26.5,298,500
26.5,299,501
26.5,300,502
26.7,301,503
26.8,302,504
26.9,303,505
26.9,304,506
26.9,305,507
27.0,306,508
